Country,PRsystem,WomenParliament
Argentina,PR,36.59999847
Australia,PR,26
Austria,PR,32.20000076
Bahamas,Non-PR,13.19999981
Barbados,Non-PR,16.70000076
Belgium,PR,39.29999924
Bolivia,PR,53.09999847
Botswana,Non-PR,9.5
Brazil,PR,9.899999619
Belize,Non-PR,3.099999905
Solomon Islands,Non-PR,2
Bulgaria,PR,20
Canada,Non-PR,25.10000038
Cape Verde,PR,20.79999924
Chile,Non-PR,15.80000019
Colombia,PR,19.89999962
Comoros,Non-PR,3
Costa Rica,PR,33.29999924
Croatia,PR,23.79999924
Cyprus (1975-),PR,12.5
Czech Republic,PR,19.5
Benin,PR,8.399999619
Denmark,PR,39.09999847
Dominican Republic,PR,20.79999924
Ecuador,PR,41.59999847
El Salvador,PR,27.39999962
Estonia,PR,19
Finland,PR,42.5
France (1963-),Non-PR,26.20000076
Georgia,PR,12
Germany,PR,36.5
Ghana,Non-PR,10.89999962
Greece,PR,21
Grenada,Non-PR,33.29999924
Guatemala,PR,13.30000019
Guyana,PR,31.29999924
Hungary,PR,10.10000038
Iceland,PR,39.70000076
India,PR,11.39999962
Indonesia,PR,16.89999962
Ireland,PR,15.69999981
Israel,PR,22.5
Italy,PR,31.39999962
Jamaica,Non-PR,12.69999981
Japan,PR,8.100000381
Kenya,Non-PR,19.10000038
"Korea, South",PR,16.29999924
Lesotho,PR,26.70000076
Latvia,PR,18
Lithuania,PR,24.10000038
Luxembourg,PR,28.29999924
Malta,PR,14.30000019
Mauritius,Non-PR,18.79999924
Mexico,PR,37.40000153
Mongolia,PR,14.89999962
Moldova,PR,17.79999924
Namibia,PR,41.29999924
Netherlands,PR,38.70000076
Vanuatu,Non-PR,0
New Zealand,PR,29.79999924
Nicaragua,PR,42.40000153
Norway,PR,39.59999847
Panama,PR,19.29999924
Paraguay,PR,15
Peru,PR,22.29999924
Philippines,PR,27.29999924
Poland,PR,24.29999924
Portugal,PR,31.29999924
Timor-Leste,PR,38.5
Romania,PR,13.5
St Lucia,Non-PR,16.70000076
Senegal,PR,43.29999924
Sierra Leone,Non-PR,12.10000038
Slovakia,PR,18.70000076
Slovenia,PR,35.59999847
South Africa,PR,41.5
Spain,PR,39.70000076
Suriname,PR,11.80000019
Sweden,PR,44.70000076
Switzerland,PR,31
Trinidad and Tobago,Non-PR,28.60000038
Tunisia,PR,31.29999924
Macedonia,PR,33.29999924
United Kingdom,Non-PR,22.60000038
United States,Non-PR,19.29999924
Uruguay,PR,16.20000076
Samoa,Non-PR,6.099999905
Zambia,Non-PR,10.80000019
